X,Y
10.585714,8.998689
10.628572,8.482295
10.714286,8.408525
10.842857,8.371640
10.885715,8.297870
11.142858,8.076557
11.228572,8.039672
11.357143,7.855246
11.442858,7.855246
11.614286,7.670820
11.785714,7.597049
11.957143,7.449508
12.000000,7.449508
12.300000,7.228197
12.342857,7.265082
12.385715,7.191311
12.685715,6.970000
12.728572,7.006885
12.857143,6.859344
12.900001,6.859344
13.457143,6.379836
13.542857,6.342951
13.542857,6.306066
13.971429,5.937213
13.971429,5.900328
14.185715,5.715901
14.185715,5.679016
14.400001,5.457705
14.400001,5.383934
14.614286,5.162623
14.571429,5.125738
14.700001,5.051967
14.657144,5.015082
14.700001,4.978197
14.700001,4.904426
14.871429,4.793770
14.828572,4.756885
14.828572,4.683115
14.914286,4.572459
14.914286,4.498688
15.042857,4.388032
15.000000,4.314262
15.042857,4.277377
15.042857,4.203607
15.128572,4.129836
15.085714,4.092951
15.214286,3.945410
15.171429,3.908525
15.171429,3.834754
15.214286,3.797869
15.214286,3.724098
15.300000,3.576557
15.300000,3.429017
15.342857,3.392131
15.342857,3.281476
15.385715,3.244590
15.385715,3.133934
15.428572,3.097049
15.428572,2.986393
15.471429,2.949508
15.471429,2.838853
15.514286,2.801967
15.514286,2.617541
15.557143,2.580656
15.557143,2.359344
15.600000,2.322459
15.600000,2.174918
15.557143,2.138033
15.600000,2.101148
15.557143,2.027377
15.600000,1.990492
15.600000,1.916721
15.685715,1.769180
15.771429,1.695410
15.685715,1.769180
15.557143,2.064262
15.514286,2.101148
15.471429,2.064262
15.385715,2.138033
15.300000,2.138033
15.257143,2.211803
15.085714,2.359344
15.042857,2.359344
15.000000,2.433115
14.485715,2.875738
14.442858,2.875738
14.014286,3.244590
13.971429,3.244590
13.800000,3.429017
13.628572,3.502787
13.585714,3.576557
13.500000,3.650328
13.457143,3.650328
13.071429,3.982295
13.028572,3.982295
12.857143,4.166721
12.814286,4.166721
12.514286,4.424918
12.471429,4.424918
12.428572,4.498688
12.171429,4.720000
12.085714,4.756885
12.085714,4.793770
11.828571,5.015082
11.828571,5.051967
11.700001,5.125738
11.700001,5.162623
11.571429,5.273279
11.485715,5.420820
11.271429,5.605246
11.314286,5.642131
11.014286,6.010983
10.928572,6.158525
10.928572,6.232295
10.800000,6.306066
10.842857,6.379836
10.757143,6.490492
10.757143,6.564262
10.671429,6.638033
10.714286,6.674918
10.671429,6.711803
10.671429,6.822459
10.542857,6.933115
10.585714,6.970000
10.542857,7.043770
10.585714,7.117541
10.500000,7.191311
10.542857,7.265082
10.500000,7.301967
10.500000,7.523279
10.457143,7.560164
10.457143,7.707705
10.414286,7.744590
10.457143,7.781476
10.457143,7.892131
10.414286,7.929016
10.457143,7.965901
10.457143,8.113442
10.500000,8.150328
10.457143,8.187213
10.500000,8.224099
10.500000,8.371640
10.628572,8.482295
10.628572,8.740492
10.585714,8.777377
10.585714,8.924918
10.542857,8.961803
10.457143,8.961803
10.414286,8.924918
10.200000,8.888033
10.028572,8.777377
9.857143,8.777377
9.685715,8.703607
9.428572,8.703607
9.385715,8.740492
9.257143,8.740492
9.128572,8.629836
9.085714,8.666721
8.871428,8.666721
8.742857,8.592951
8.742857,8.482295
8.828571,8.408525
9.085714,8.371640
9.128572,8.334755
9.385715,8.334755
9.514286,8.408525
9.557143,8.371640
9.814286,8.371640
9.857143,8.408525
9.985715,8.408525
10.114286,8.482295
10.157144,8.445411
10.114286,8.408525
10.028572,8.445411
9.985715,8.408525
9.857143,8.408525
9.814286,8.371640
9.557143,8.371640
9.428572,8.297870
9.385715,8.334755
9.128572,8.334755
9.085714,8.371640
8.828571,8.408525
8.742857,8.482295
8.742857,8.592951
8.871428,8.666721
9.085714,8.666721
9.128572,8.703607
9.342857,8.740492
9.428572,8.814262
9.428572,8.888033
9.471429,8.924918
9.514286,8.888033
9.385715,8.777377
9.428572,8.703607
9.685715,8.703607
9.728572,8.740492
9.900001,8.777377
9.985715,8.851148
10.071429,8.814262
10.200000,8.888033
10.542857,8.961803
10.671429,9.072459
10.671429,9.109344
10.842857,9.220000
10.842857,9.256886
10.671429,9.404427
10.542857,9.441312
10.285714,9.662623
10.328571,9.699509
10.028572,9.994591
10.457143,9.588853
10.457143,9.515082
10.542857,9.441312
10.671429,9.404427
